user ID,user__created_date,country,age,num_messages,num_active_days
444,5/4/2023,Ghana,30,312,3
445,5/16/2023,Ghana,0,117,1
446,2/24/2024,Ghana,5,958,12
447,1/15/2023,Nigeria,0,217,4
448,12/16/2023,Nigeria,16,434,3
449,4/6/2024,Nigeria,17,854,4
450,4/24/2024,Ghana,13,156,1
451,1/3/2024,Kenya,17,202,3
452,3/25/2024,Mozambique,14,112,2
453,1/4/2023,Nigeria,0,52,1
454,3/6/2024,Uganda,21,542,8
455,2/1/2024,Ghana,26,213,4
456,4/9/2024,Ghana,16,742,8
457,4/24/2023,Nigeria,0,207,1
458,4/7/2024,Nigeria,16,169,1
459,3/28/2024,Ghana,18,148,2
460,3/5/2024,Nigeria,17,151,4
461,1/7/2024,Ghana,17,184,3
462,2/25/2024,Nigeria,16,328,4
463,5/17/2023,Sierra Leone,0,62,1
464,3/16/2024,Ghana,17,361,4
465,3/23/2023,Nigeria,0,45,1
466,3/3/2024,Kenya,22,211,1
467,2/2/2024,Nigeria,18,127,1
468,4/4/2024,Ghana,18,484,6
469,7/18/2023,Nigeria,14,180,2
470,12/16/2023,Nigeria,0,55,1
471,4/27/2024,Ghana,16,669,3
472,4/10/2024,Nigeria,19,172,1
473,4/16/2024,Nigeria,13,223,5
474,4/4/2024,Ghana,17,799,5
475,2/14/2024,Nigeria,19,358,2
476,3/14/2024,Ghana,19,298,3
477,3/23/2024,Ghana,22,164,2
478,12/13/2023,"Kazakhstan, Russia",28,244,7
479,2/13/2024,Nigeria,6,159,3
480,4/6/2024,Ghana,13,689,2
481,2/19/2024,Nigeria,17,593,3
482,4/11/2024,Ghana,15,293,2
483,1/10/2023,Ghana,0,94,6
484,3/13/2024,Nigeria,17,140,5
485,2/17/2024,Nigeria,19,215,1
486,4/18/2023,Ghana,17,197,4
487,1/2/2024,Kenya,13,100,1
488,1/3/2024,Uganda,0,735,2
489,3/18/2024,Ghana,14,692,9
490,4/10/2024,Ghana,16,542,5
491,2/15/2024,Nigeria,18,389,3
492,4/16/2024,Ghana,20,308,4
493,3/21/2024,Mozambique,15,489,3
494,2/23/2024,Nigeria,18,452,3
495,1/3/2024,Ghana,14,178,3
496,4/4/2024,Ghana,0,542,4
497,12/26/2023,Ghana,14,299,5
498,3/21/2024,Ghana,16,789,3
